"dia";"total_cargas";"cargas_concluidas"
2020-01-01 00:00:00;71;41
2020-01-02 00:00:00;71;51
2020-01-03 00:00:00;71;60
2020-01-04 00:00:00;71;55
2020-01-05 00:00:00;71;43
2020-01-06 00:00:00;71;60
2020-01-07 00:00:00;71;62
2020-01-08 00:00:00;69;62
2020-01-09 00:00:00;70;62
2020-01-10 00:00:00;70;63
2020-01-11 00:00:00;71;63
2020-01-12 00:00:00;71;33
2020-01-13 00:00:00;71;62
2020-01-14 00:00:00;71;59
2020-01-15 00:00:00;71;63
2020-01-16 00:00:00;71;63
2020-01-17 00:00:00;71;63
2020-01-18 00:00:00;71;52
2020-01-19 00:00:00;69;30
2020-01-20 00:00:00;70;47
2020-01-21 00:00:00;70;63
2020-01-22 00:00:00;70;63
2020-01-23 00:00:00;70;62
2020-01-24 00:00:00;70;63
2020-01-25 00:00:00;71;60
2020-01-26 00:00:00;71;41
2020-01-27 00:00:00;71;60
2020-01-28 00:00:00;71;61
2020-01-29 00:00:00;72;60
2020-01-30 00:00:00;72;62
2020-01-31 00:00:00;72;65
2020-02-01 00:00:00;77;59
2020-02-02 00:00:00;77;44
2020-02-03 00:00:00;77;67
2020-02-04 00:00:00;72;63
2020-02-05 00:00:00;72;63
2020-02-06 00:00:00;72;64
2020-02-07 00:00:00;72;63
2020-02-08 00:00:00;72;57
2020-02-09 00:00:00;72;43
2020-02-10 00:00:00;72;63
2020-02-11 00:00:00;72;59
2020-02-12 00:00:00;76;71
2020-02-13 00:00:00;78;68
2020-02-14 00:00:00;78;73
2020-02-15 00:00:00;78;65
2020-02-16 00:00:00;78;49
2020-02-17 00:00:00;78;66
2020-02-18 00:00:00;78;68
2020-02-19 00:00:00;78;72
2020-02-20 00:00:00;78;67
2020-02-21 00:00:00;78;67
2020-02-22 00:00:00;78;65
2020-02-23 00:00:00;78;48
2020-02-24 00:00:00;78;63
2020-02-25 00:00:00;78;66
2020-02-26 00:00:00;78;68
2020-02-27 00:00:00;79;74
2020-02-28 00:00:00;79;74
2020-02-29 00:00:00;79;71
2020-03-01 00:00:00;84;49
2020-03-02 00:00:00;84;67
2020-03-03 00:00:00;81;71
