CAMINHO;MACRO;ROBO;HORA
J:\Ferramenta BK\Ferramenta_BackOffice.xlsm;!BASES;GARVIS;04:03:04
J:\Ferramenta_Tracking\Ferramenta_Tracking.xlsm;!ATUALIZAR_TUDO;GARVIS;03:56:37
M:\Gestao_Analitica\Cristiane\Ruptura_229_255\Ruptura_Lojas_Especiais.xlsm;!AtualizarBases;GARVIS;08:09:30
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\000_BASES\009_MB51\000_BASE_SAP\001_MB51.xlsm;!ATUALIZAR_TUDO;GARVIS;09:50:00
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\000_BASES\010_ZTMM042_MI20\000_BASE_SAP\001_ZTTM042.xlsm;!ATUALIZAR_TUDO;GARVIS;10:10:05
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\000_BASES\010_ZTMM042_MI20\000_BASE_SAP\002_MI20.xlsm;!ATUALIZAR_TUDO;GARVIS;10:56:10
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\000_BASES\011_SANGRIAS\000_AJUSTE\Ajust_BD_Sangiras.xlsm;!ATUALIZAR_TUDO;GARVIS;05:39:01
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\000_BASES\012_TEMPOS\001_SYNTAX\Ajust_BD_Tempos.xlsm;!ATUALIZAR_TUDO;GARVIS;02:33:09
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\000_BASES\015_MIGO_MIRO\000_BASE_SAP\001_MIGO_MIRO.xlsm;!ATUALIZAR_TUDO;GARVIS;10:02:48
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\001_Logistica\003_Dashboard\001_Base_SAP_Dash.xlsm;!ATUALIZAR_TUDO;GARVIS;09:24:00
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\001_Logistica\003_Dashboard\001_Base_SAP_Dash.xlsm;!ATUALIZA_GOOGLEDOCS;GARVIS;17:12:42
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\001_Logistica\004_NS_Assistencia\001_NS_Assistencia.xlsm;!ATUALIZAR_TUDO;GARVIS;11:27:13
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\001_Logistica\004_NS_Assistencia\002_NS_Assistencia_Comerciais.xlsm;!ATUALIZAR_TUDO;GARVIS;08:27:46
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\001_Logistica\006_Relatorio_Agenda_CDs\001_Relatorio_Agenda_CDs.xlsm;!ATUALIZAR_TUDO;GARVIS;18:11:16
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\001_Logistica\007_Dashboard_CD1\001_Base_SAP_Dash_CD1.xlsm;!ATUALIZAR_BASES_2;GARVIS;17:27:14
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\001_Logistica\007_Dashboard_CD1\001_Base_SAP_Dash_CD1.xlsm;!ATUALIZAR_TUDO;GARVIS;10:26:17
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\005_Operacoes\002_Contagem_Fluxo\007_Expurgos\Expurgos_Cont_Flux.xlsb;!Atualizar_Base;GARVIS;10:49:27
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\005_Operacoes\002_Contagem_Fluxo\CONTAGEM_FLUXO.xlsm;!ATUALIZAR_TUDO;GARVIS;00:10:57
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\005_Operacoes\003_Book_Gerentes\Book_Gerentes.xlsm;!MESTRA;GARVIS;01:01:02
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\005_Operacoes\005_Gestor_Contatos\ACOMPANHAMENTO_GESTOR.xlsm;!ATUALIZAR_TUDO;GARVIS;04:04:20
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\005_Operacoes\006_PGTO_Horas_Extras\PGTO_HORAS_EXTRAS.xlsm;!ATUALIZAR_TUDO;GARVIS;10:22:10
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\005_Operacoes\007_Desligamentos\001_Diario\Desligamentos_Dia.xlsm;!MESTRE;GARVIS;10:48:07
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\005_Operacoes\008_Cronograma_dos_Regionais\Cronograma_Visitas.xlsm;!MASTER;GARVIS;13:01:53
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\006_Cobranca\002_Base_Colaboradores_Ativos\Gera_Base_Colaboradores_Ativos.xlsm;!ATUALIZA;GARVIS;01:07:05
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\007_Desenvolvimento_Humano\Faturamento_Filial\001_Faturamento.xlsm;!ATUALIZAR_TUDO;GARVIS;14:07:56
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\009_MIS\D_ACOMPANHAMENTO_REDE\Acompanhamento_Testes_Rede.xlsm;!ATUALIZAR_TUDO;GARVIS;23:39:25
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\010_CRM\001_AJUSTA_ARQUIVO\AJUSTAR_BASEQQ.xlsm;!ATUALIZAR_TUDO;GARVIS;00:57:00
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Acompanhamento Metas\Acompanhamento_Metas.xlsm;!MESTRO;GARVIS;08:27:55
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Alerta Férias\ALERTA_FERIAS_RPs.xlsm;!MESTRA;GARVIS;05:58:04
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Analise_Entrega_VL10E\Analise_Entrega_VL10E.xlsm;!MESTRE;GARVIS;09:32:38
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Checklist Regionais\CheckList_Regionais.xlsm;!MESTRE;GARVIS;01:39:47
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Entrega\20 Maiores\20_MaioresPedidos.xlsm;!MESTRE;GARVIS;12:10:49
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Entrega\Base Pedidos\PEDIDOS_COMPILADOR.xlsm;!ATUALIZACAO;GARVIS;06:15:43
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Entrega\Relatorio_Producao_vs_Faturamento.xlsm;!MESTRA;GARVIS;09:19:34
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Gap Producao vs Entrega\GAP_PRODUCAO_vs_FATURAMENTO.xlsm;!MESTRE;GARVIS;06:13:25
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Gestao Diaria\Gestao_Diaria_VMaisEPMais.xlsm;!ATUALIZAR_TUDO;GARVIS;07:44:34
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Localiza Compra\LOCALIZA_COMPRA.xlsm;!ATUALIZAR;GARVIS;00:44:43
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Mailing\Diario\02_Mailing_SemBloq.xlsm;!MESTRE;GARVIS;06:24:15
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Mailing\Diario\04_Envio.xlsm;!ENVIO;GARVIS;08:51:00
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Mesa_de_Negocios\20_Maiores_Pedidos_Cancelados\Base\00_BASE_PEDIDOS.xlsm;!MESTRE;GARVIS;06:20:34
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Mesa_de_Negocios\Pedidos_Cancelados_Resumo_Conversao\00_BASE.xlsm;!ATUALIZAR_TUDO;GARVIS;00:33:48
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Mesa_de_Negocios\Pedidos_Cancelados_Resumo_Conversao\00_BASE.xlsm;!MESTRE;GARVIS;06:32:53
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Mesa_de_Negocios\Pedidos_Cancelados_Resumo_Conversao\00_BASE_DIARIA.xlsm;!MESTRE;GARVIS;06:52:05
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Ruptura\Bases\ZTMMDMO_BASE.xlsm;!BASE_SAP;GARVIS;12:13:47
M:\Gestao_Analitica\Relatorios (Alisson)\Projetos\Venda Diaria\001_Virada_Mes.xlsm;!ATUALIZAR_TUDO;GARVIS;21:11:44
M:\Gestao_Analitica\Relatorios (Alisson)\Quero-Quero\Quadro ADP - Atual\Bases Ativos\TratarBases.xlsm;!ATUALIZAR_TUDO;GARVIS;02:07:59
M:\Gestao_Analitica\Relatorios (Alisson)\Quero-Quero\Quadro ADP - Atual\CAD_FUNC\AJUSTE_CAD_FUNC_BASE.xlsm;!MESTRE;GARVIS;05:21:36
